target_id,comparator_id,outcome_id,analysis_id,target_min_days,target_p10_days,target_p25_days,target_median_days,target_p75_days,target_p90_days,target_max_days,comparator_min_days,comparator_p10_days,comparator_p25_days,comparator_median_days,comparator_p75_days,comparator_p90_days,comparator_max_days,database_id
16733,16736,16741,1,2,2,3,6,14,17,30,1,2,4,6,14,17,30,cdm_premier_covid_v1240
16733,16736,16743,1,1,2,3,5,11,14,30,1,2,3,5,11,13,30,cdm_premier_covid_v1240
16733,16738,16741,1,2,2,3,6,15,18,30,2,2,4,6,13,16,30,cdm_premier_covid_v1240
16733,16738,16743,1,1,2,3,5,12,15,30,1,2,3,5,10,12,30,cdm_premier_covid_v1240
16733,16739,16741,1,2,2,3,6,13,17,30,2,2,4,6,16,22,30,cdm_premier_covid_v1240
16733,16739,16743,1,1,2,3,5,11,14,30,1,2,3,5,12,16,30,cdm_premier_covid_v1240
16761,16762,16741,1,2,2,4,6,25,30,30,2,3,4,7,27,30,30,cdm_premier_covid_v1240
16761,16762,16743,1,1,2,3,5,16.75,30,30,1,2,3,5,17.299999999999955,30,30,cdm_premier_covid_v1240
16733,16736,16741,2,2,2,3,6,14,17,30,2,2,3,6,15,20,30,cdm_premier_covid_v1240
16733,16736,16743,2,1,2,3,5,11,14,30,1,2,3,5,12,16,30,cdm_premier_covid_v1240
16733,16738,16741,2,2,2,3,6,14.350000000000023,17,30,2,2,3,6,13,16,30,cdm_premier_covid_v1240
16733,16738,16743,2,1,2,3,5,12,14,30,1,2,3,5,11,13,30,cdm_premier_covid_v1240
16733,16739,16741,2,2,2,4,6,15,18,30,2,2,4,6,15,20,30,cdm_premier_covid_v1240
16733,16739,16743,2,1,2,3,5,12,15,30,1,2,3,5,11,15,30,cdm_premier_covid_v1240
16761,16762,16741,2,2,2.200000000000003,4,7,25,30,30,2,3,4,6,26,30,30,cdm_premier_covid_v1240
16761,16762,16743,2,1,2,3,6,17.19999999999999,30,30,1,2,3,5,18.19999999999999,29.80000000000001,30,cdm_premier_covid_v1240
16733,16736,16741,3,2,2,3,6,14,17,30,1,2,4,6,14,17,30,cdm_premier_covid_v1240
16733,16736,16743,3,1,2,3,5,11,14,30,1,2,3,5,11,13,30,cdm_premier_covid_v1240
16733,16738,16741,3,2,2,3,6,15,18,30,2,2,4,6,13,16,30,cdm_premier_covid_v1240
16733,16738,16743,3,1,2,3,5,12,15,30,1,2,3,5,10,12,30,cdm_premier_covid_v1240
16733,16739,16741,3,2,2,3,6,13,17,30,2,2,4,6,16,22,30,cdm_premier_covid_v1240
16733,16739,16743,3,1,2,3,5,11,14,30,1,2,3,5,12,16,30,cdm_premier_covid_v1240
16761,16762,16741,3,2,2,4,6,25,30,30,2,3,4,7,27,30,30,cdm_premier_covid_v1240
16761,16762,16743,3,1,2,3,5,16.75,30,30,1,2,3,5,17.299999999999955,30,30,cdm_premier_covid_v1240
