target_id,comparator_id,outcome_id,analysis_id,rr,ci_95_lb,ci_95_ub,p,i_2,log_rr,se_log_rr,target_subjects,comparator_subjects,target_days,comparator_days,target_outcomes,comparator_outcomes,calibrated_p,calibrated_rr,calibrated_ci_95_lb,calibrated_ci_95_ub,calibrated_log_rr,calibrated_se_log_rr,database_id
16733,16736,16741,1,1.03089327665189,0.894938266273358,1.18112905709407,0.667316725795694,NA,0.0304256852751813,0.070784807925305,1623,24404,13262,199672,214,3923,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,432867,1,1.17546984535535,0.40687491815333,2.69136448101908,0.737300935594374,NA,0.161667936057597,0.48197257426811,1623,24404,13215,199433,5,55,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,80502,1,2.97422691558008,0.153998731778808,18.3747448690834,0.371574730362082,NA,1.08998414491883,1.21986631128171,1623,24404,13261,199745,-5,6,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,140673,1,2.60303041422436,0.391388700557427,10.3488338374821,0.252169980660211,NA,0.956676310240888,0.835456151291986,1623,24404,13231,199692,-5,10,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,435243,1,0.3477188106972,NA,22.0945866400223,NA,NA,-1.05636114106586,NA,1623,24404,13262,199753,0,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,16743,1,1.02913965364935,0.917817716448164,1.14971015631974,0.617201469311,NA,0.0287231654752953,0.0574669607302409,1623,24404,11225,166926,326,5534,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,79917,1,NA,NA,NA,NA,NA,NA,NA,1623,24404,13262,199772,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,78524,1,NA,NA,NA,NA,NA,NA,NA,1623,24404,13262,199772,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,4080762,1,0.338122514756976,NA,10.5007363881816,NA,NA,-1.08434697948019,NA,1623,24404,13262,199741,0,5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,4209423,1,0.342940720507032,NA,3.2709131410663,NA,NA,-1.07019767326253,NA,1623,24404,13262,199735,0,13,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,433736,1,1.45579407110293,0.431925876774912,3.68732185596129,0.492396957887568,NA,0.375551505089611,0.54705130149465,1623,24404,13240,199584,-5,38,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,4295261,1,NA,NA,NA,NA,NA,NA,NA,1623,24404,13262,199772,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,4213540,1,NA,NA,NA,NA,NA,NA,NA,1623,24404,13262,199772,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,438120,1,0.340589579052584,NA,21.8452360105098,NA,NA,-1.07707710707427,NA,1623,24404,13262,199768,0,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
