covariate_id,covariate_name,covariate_analysis_id,analysis_id,database_id
4338225212,condition_era group during day -30 through 0 days relative to index: Peptic ulcer with perforation,212,1,cdm_premier_covid_v1240
5007,index month: 5,7,1,cdm_premier_covid_v1240
17003,age group:  85 -  89,3,1,cdm_premier_covid_v1240
8532001,gender = FEMALE,1,1,cdm_premier_covid_v1240
4186461212,condition_era group during day -30 through 0 days relative to index: Medication-induced movement disorder,212,1,cdm_premier_covid_v1240
2007,index month: 2,7,1,cdm_premier_covid_v1240
6003,age group:  30 -  34,3,1,cdm_premier_covid_v1240
8507001,gender = MALE,1,1,cdm_premier_covid_v1240
4186463212,condition_era group during day -30 through 0 days relative to index: Exocrine pancreatic insufficiency,212,1,cdm_premier_covid_v1240
3007,index month: 3,7,1,cdm_premier_covid_v1240
9003,age group:  45 -  49,3,1,cdm_premier_covid_v1240
4169977212,condition_era group during day -30 through 0 days relative to index: Congenital malformation of upper alimentary tract,212,1,cdm_premier_covid_v1240
4007,index month: 4,7,1,cdm_premier_covid_v1240
3003,age group:  15 -  19,3,1,cdm_premier_covid_v1240
4168796212,condition_era group during day -30 through 0 days relative to index: Muscle strain,212,1,cdm_premier_covid_v1240
4003,age group:  20 -  24,3,1,cdm_premier_covid_v1240
4168666212,condition_era group during day -30 through 0 days relative to index: Cerebral degeneration,212,1,cdm_premier_covid_v1240
18003,age group:  90 -  94,3,1,cdm_premier_covid_v1240
4168681212,condition_era group during day -30 through 0 days relative to index: Irritability and anger,212,1,cdm_premier_covid_v1240
12003,age group:  60 -  64,3,1,cdm_premier_covid_v1240
4168686212,condition_era group during day -30 through 0 days relative to index: Jaw pain,212,1,cdm_premier_covid_v1240
15003,age group:  75 -  79,3,1,cdm_premier_covid_v1240
4168689212,condition_era group during day -30 through 0 days relative to index: Abnormal findings on microbiological examination of urine,212,1,cdm_premier_covid_v1240
16003,age group:  80 -  84,3,1,cdm_premier_covid_v1240
4168700212,condition_era group during day -30 through 0 days relative to index: Localized enlarged lymph nodes,212,1,cdm_premier_covid_v1240
7003,age group:  35 -  39,3,1,cdm_premier_covid_v1240
4170137212,condition_era group during day -30 through 0 days relative to index: Non-suppurative otitis media,212,1,cdm_premier_covid_v1240
13003,age group:  65 -  69,3,1,cdm_premier_covid_v1240
4170143212,condition_era group during day -30 through 0 days relative to index: Respiratory tract infection,212,1,cdm_premier_covid_v1240
10003,age group:  50 -  54,3,1,cdm_premier_covid_v1240
4170145212,condition_era group during day -30 through 0 days relative to index: Absence of lung,212,1,cdm_premier_covid_v1240
5003,age group:  25 -  29,3,1,cdm_premier_covid_v1240
4002340212,condition_era group during day -30 through 0 days relative to index: Primary malignant neoplasm of meninges,212,1,cdm_premier_covid_v1240
11003,age group:  55 -  59,3,1,cdm_premier_covid_v1240
4002344212,"condition_era group during day -30 through 0 days relative to index: Benign neoplasm of peripheral nerve of head, face AND/OR neck",212,1,cdm_premier_covid_v1240
14003,age group:  70 -  74,3,1,cdm_premier_covid_v1240
4002356212,"condition_era group during day -30 through 0 days relative to index: Diffuse non-Hodgkin's lymphoma, small cell",212,1,cdm_premier_covid_v1240
8003,age group:  40 -  44,3,1,cdm_premier_covid_v1240
4002357212,"condition_era group during day -30 through 0 days relative to index: Follicular non-Hodgkin's lymphoma, small cleaved cell",212,1,cdm_premier_covid_v1240
4002359212,condition_era group during day -30 through 0 days relative to index: Monoclonal gammopathy,212,1,cdm_premier_covid_v1240
373478212,condition_era group during day -30 through 0 days relative to index: Presbyopia,212,1,cdm_premier_covid_v1240
380661212,condition_era group during day -30 through 0 days relative to index: Primary malignant neoplasm of cerebrum,212,1,cdm_premier_covid_v1240
321462212,condition_era group during day -30 through 0 days relative to index: Cardiac complication,212,1,cdm_premier_covid_v1240
373487212,condition_era group during day -30 through 0 days relative to index: Ischemic optic neuropathy,212,1,cdm_premier_covid_v1240
375239212,condition_era group during day -30 through 0 days relative to index: Degenerative brain disorder,212,1,cdm_premier_covid_v1240
378432212,condition_era group during day -30 through 0 days relative to index: Impairment level: one eye: total impairment: other eye: normal vision,212,1,cdm_premier_covid_v1240
378444212,condition_era group during day -30 through 0 days relative to index: Hearing disorder,212,1,cdm_premier_covid_v1240
378523212,condition_era group during day -30 through 0 days relative to index: Residual foreign body in soft tissue,212,1,cdm_premier_covid_v1240
378726212,condition_era group during day -30 through 0 days relative to index: Dementia associated with alcoholism,212,1,cdm_premier_covid_v1240
378735212,condition_era group during day -30 through 0 days relative to index: Migraine without aura,212,1,cdm_premier_covid_v1240
378741212,condition_era group during day -30 through 0 days relative to index: Brachial plexus disorder,212,1,cdm_premier_covid_v1240
378743212,condition_era group during day -30 through 0 days relative to index: Mild nonproliferative retinopathy due to diabetes mellitus,212,1,cdm_premier_covid_v1240
378756212,condition_era group during day -30 through 0 days relative to index: Conjunctival hemorrhage,212,1,cdm_premier_covid_v1240
378774212,condition_era group during day -30 through 0 days relative to index: Moyamoya disease,212,1,cdm_premier_covid_v1240
378839212,condition_era group during day -30 through 0 days relative to index: Spina bifida with hydrocephalus,212,1,cdm_premier_covid_v1240
379008212,condition_era group during day -30 through 0 days relative to index: Stiff-man syndrome,212,1,cdm_premier_covid_v1240
379010212,condition_era group during day -30 through 0 days relative to index: Epiretinal membrane,212,1,cdm_premier_covid_v1240
379012212,condition_era group during day -30 through 0 days relative to index: Monoplegia of upper limb,212,1,cdm_premier_covid_v1240
379019212,condition_era group during day -30 through 0 days relative to index: Conjunctivitis,212,1,cdm_premier_covid_v1240
379027212,condition_era group during day -30 through 0 days relative to index: Progressive external ophthalmoplegia,212,1,cdm_premier_covid_v1240
379031212,condition_era group during day -30 through 0 days relative to index: Pain in eye,212,1,cdm_premier_covid_v1240
4097608212,"condition_era group during day -30 through 0 days relative to index: Gestation period, 18 weeks",212,1,cdm_premier_covid_v1240
4329560212,condition_era group during day -30 through 0 days relative to index: Mood disorder with mixed features due to general medical condition,212,1,cdm_premier_covid_v1240
4328879212,condition_era group during day -30 through 0 days relative to index: Volkmann's ischemic contracture following injury,212,1,cdm_premier_covid_v1240
4328334212,condition_era group during day -30 through 0 days relative to index: Ophthalmic nerve disorder,212,1,cdm_premier_covid_v1240
4328356212,condition_era group during day -30 through 0 days relative to index: Sneezing,212,1,cdm_premier_covid_v1240
4043371212,condition_era group during day -30 through 0 days relative to index: Inflammatory disorder of digestive tract,212,1,cdm_premier_covid_v1240
4043378212,condition_era group during day -30 through 0 days relative to index: Frontotemporal dementia,212,1,cdm_premier_covid_v1240
4043387212,condition_era group during day -30 through 0 days relative to index: Drug-induced acute dystonia,212,1,cdm_premier_covid_v1240
4221495212,condition_era group during day -30 through 0 days relative to index: Cataract due to diabetes mellitus type 2,212,1,cdm_premier_covid_v1240
4221555212,condition_era group during day -30 through 0 days relative to index: Sex-linked hereditary disorder,212,1,cdm_premier_covid_v1240
4230774212,condition_era group during day -30 through 0 days relative to index: Heart valve regurgitation,212,1,cdm_premier_covid_v1240
4174885212,condition_era group during day -30 through 0 days relative to index: Traumatic pneumohemothorax,212,1,cdm_premier_covid_v1240
4175171212,condition_era group during day -30 through 0 days relative to index: Pathological fracture of foot,212,1,cdm_premier_covid_v1240
4126119212,condition_era group during day -30 through 0 days relative to index: Toxic nephropathy,212,1,cdm_premier_covid_v1240
4140438212,condition_era group during day -30 through 0 days relative to index: Chronic hypercapnic respiratory failure,212,1,cdm_premier_covid_v1240
4195085212,condition_era group during day -30 through 0 days relative to index: Nasal congestion,212,1,cdm_premier_covid_v1240
4193620212,"condition_era group during day -30 through 0 days relative to index: Keratoconjunctivitis sicca, in Sjögren's syndrome",212,1,cdm_premier_covid_v1240
4193638212,condition_era group during day -30 through 0 days relative to index: Splenic cyst,212,1,cdm_premier_covid_v1240
4032586212,condition_era group during day -30 through 0 days relative to index: Acquired buried penis,212,1,cdm_premier_covid_v1240
4032594212,condition_era group during day -30 through 0 days relative to index: Inflammation of scrotum,212,1,cdm_premier_covid_v1240
4310082212,condition_era group during day -30 through 0 days relative to index: Accidental poisoning by cannabis derivatives,212,1,cdm_premier_covid_v1240
4311484212,condition_era group during day -30 through 0 days relative to index: Herpes simplex keratitis,212,1,cdm_premier_covid_v1240
4311499212,condition_era group during day -30 through 0 days relative to index: Primary malignant neoplasm of respiratory tract,212,1,cdm_premier_covid_v1240
4032787212,condition_era group during day -30 through 0 days relative to index: Hyperosmolarity,212,1,cdm_premier_covid_v1240
4032799212,condition_era group during day -30 through 0 days relative to index: Opioid-induced organic mental disorder,212,1,cdm_premier_covid_v1240
4305080212,condition_era group during day -30 through 0 days relative to index: Abnormal breathing,212,1,cdm_premier_covid_v1240
4306923212,condition_era group during day -30 through 0 days relative to index: Chronic idiopathic constipation,212,1,cdm_premier_covid_v1240
4126274212,condition_era group during day -30 through 0 days relative to index: Bladder outflow obstruction,212,1,cdm_premier_covid_v1240
4175603212,condition_era group during day -30 through 0 days relative to index: Embolism of vena cava,212,1,cdm_premier_covid_v1240
4175616212,condition_era group during day -30 through 0 days relative to index: Fracture of shaft of humerus,212,1,cdm_premier_covid_v1240
4175635212,condition_era group during day -30 through 0 days relative to index: Non dependent drug abuse,212,1,cdm_premier_covid_v1240
4280828212,condition_era group during day -30 through 0 days relative to index: Infectious disease carrier,212,1,cdm_premier_covid_v1240
4282301212,condition_era group during day -30 through 0 days relative to index: Todd's paresis,212,1,cdm_premier_covid_v1240
4282316212,condition_era group during day -30 through 0 days relative to index: Recurrent major depression,212,1,cdm_premier_covid_v1240
4281232212,condition_era group during day -30 through 0 days relative to index: Type B viral hepatitis,212,1,cdm_premier_covid_v1240
4280571212,condition_era group during day -30 through 0 days relative to index: Acute pyelonephritis,212,1,cdm_premier_covid_v1240
4280498212,condition_era group during day -30 through 0 days relative to index: Polyp of cervix,212,1,cdm_premier_covid_v1240
4281692212,condition_era group during day -30 through 0 days relative to index: Identity disorder,212,1,cdm_premier_covid_v1240
764603212,condition_era group during day -30 through 0 days relative to index: Lump of axillary tail of left breast,212,1,cdm_premier_covid_v1240
764632212,condition_era group during day -30 through 0 days relative to index: Tinnitus of left ear,212,1,cdm_premier_covid_v1240
764634212,condition_era group during day -30 through 0 days relative to index: Tinnitus of right ear,212,1,cdm_premier_covid_v1240
764800212,condition_era group during day -30 through 0 days relative to index: Mass of pleura,212,1,cdm_premier_covid_v1240
40492458212,condition_era group during day -30 through 0 days relative to index: Neoplasm of uncertain behavior of digestive organ,212,1,cdm_premier_covid_v1240
4133495212,condition_era group during day -30 through 0 days relative to index: Acute schizophrenia-like psychotic disorder,212,1,cdm_premier_covid_v1240
4133715212,condition_era group during day -30 through 0 days relative to index: Traumatic brain injury with no loss of consciousness,212,1,cdm_premier_covid_v1240
4133723212,condition_era group during day -30 through 0 days relative to index: Decreased albumin,212,1,cdm_premier_covid_v1240
4133599212,condition_era group during day -30 through 0 days relative to index: Chronic myelomonocytic leukemia,212,1,cdm_premier_covid_v1240
4135052212,condition_era group during day -30 through 0 days relative to index: Vascular anomaly of umbilical cord,212,1,cdm_premier_covid_v1240
4134120212,condition_era group during day -30 through 0 days relative to index: Cerebral palsy,212,1,cdm_premier_covid_v1240
4134121212,condition_era group during day -30 through 0 days relative to index: Lumbar radiculopathy,212,1,cdm_premier_covid_v1240
4134123212,condition_era group during day -30 through 0 days relative to index: Hereditary sensory and autonomic neuropathy,212,1,cdm_premier_covid_v1240
4134132212,condition_era group during day -30 through 0 days relative to index: Chronic disease of skin,212,1,cdm_premier_covid_v1240
4134133212,condition_era group during day -30 through 0 days relative to index: Chronic disease of musculoskeletal system,212,1,cdm_premier_covid_v1240
4134145212,condition_era group during day -30 through 0 days relative to index: Chronic nervous system disorder,212,1,cdm_premier_covid_v1240
4134146212,condition_era group during day -30 through 0 days relative to index: Chronic peptic ulcer,212,1,cdm_premier_covid_v1240
4300192212,condition_era group during day -30 through 0 days relative to index: Fracture of pelvis,212,1,cdm_premier_covid_v1240
4300203212,condition_era group during day -30 through 0 days relative to index: Cholelithiasis with obstruction,212,1,cdm_premier_covid_v1240
4300243212,condition_era group during day -30 through 0 days relative to index: Postoperative complication,212,1,cdm_premier_covid_v1240
4224741212,condition_era group during day -30 through 0 days relative to index: Degenerative disorder of macula,212,1,cdm_premier_covid_v1240
4224742212,condition_era group during day -30 through 0 days relative to index: Non-IgE-mediated allergic disorder,212,1,cdm_premier_covid_v1240
4226238212,condition_era group during day -30 through 0 days relative to index: Hyperosmolar coma due to diabetes mellitus,212,1,cdm_premier_covid_v1240
4226263212,condition_era group during day -30 through 0 days relative to index: Pharyngitis,212,1,cdm_premier_covid_v1240
4226266212,condition_era group during day -30 through 0 days relative to index: Cervical spinal cord injury,212,1,cdm_premier_covid_v1240
4226282212,condition_era group during day -30 through 0 days relative to index: Fracture of phalanx of hand,212,1,cdm_premier_covid_v1240
312653212,condition_era group during day -30 through 0 days relative to index: Acute myocarditis,212,1,cdm_premier_covid_v1240
312723212,condition_era group during day -30 through 0 days relative to index: Congenital heart disease,212,1,cdm_premier_covid_v1240
312902212,condition_era group during day -30 through 0 days relative to index: Benign intracranial hypertension,212,1,cdm_premier_covid_v1240
312927212,condition_era group during day -30 through 0 days relative to index: Acute cor pulmonale,212,1,cdm_premier_covid_v1240
312928212,condition_era group during day -30 through 0 days relative to index: Adhesive pericarditis,212,1,cdm_premier_covid_v1240
312934212,condition_era group during day -30 through 0 days relative to index: Atherosclerosis of aorta,212,1,cdm_premier_covid_v1240
312935212,condition_era group during day -30 through 0 days relative to index: Venous hypertension,212,1,cdm_premier_covid_v1240
312938212,condition_era group during day -30 through 0 days relative to index: Hypertensive encephalopathy,212,1,cdm_premier_covid_v1240
312939212,condition_era group during day -30 through 0 days relative to index: Thromboangiitis obliterans,212,1,cdm_premier_covid_v1240
312940212,condition_era group during day -30 through 0 days relative to index: Acute-on-chronic respiratory failure,212,1,cdm_premier_covid_v1240
312998212,condition_era group during day -30 through 0 days relative to index: Pain in thoracic spine,212,1,cdm_premier_covid_v1240
313005212,condition_era group during day -30 through 0 days relative to index: Congenital stenosis of pulmonary valve,212,1,cdm_premier_covid_v1240
313007212,condition_era group during day -30 through 0 days relative to index: Congenital insufficiency of mitral valve,212,1,cdm_premier_covid_v1240
313011212,condition_era group during day -30 through 0 days relative to index: Congenital malposition of heart,212,1,cdm_premier_covid_v1240
4312924212,condition_era group during day -30 through 0 days relative to index: Entrapment neuropathy of upper limb,212,1,cdm_premier_covid_v1240
4312944212,condition_era group during day -30 through 0 days relative to index: Secondary malignant neoplasm of soft tissues,212,1,cdm_premier_covid_v1240
4038835212,condition_era group during day -30 through 0 days relative to index: Hodgkin's disease,212,1,cdm_premier_covid_v1240
4038838212,condition_era group during day -30 through 0 days relative to index: Non-Hodgkin's lymphoma,212,1,cdm_premier_covid_v1240
4038839212,"condition_era group during day -30 through 0 days relative to index: Hodgkin lymphoma, nodular lymphocyte predominance",212,1,cdm_premier_covid_v1240
4038842212,"condition_era group during day -30 through 0 days relative to index: Hodgkin's disease, nodular sclerosis",212,1,cdm_premier_covid_v1240
