"database_id","target_id","comparator_id","outcome_id","analysis_id","interaction_covariate_id","covariate_id","target_mean_before","comparator_mean_before","std_diff_before","target_mean_after","comparator_mean_after","std_diff_after"
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,318800212,0.251,0.155,0.24,0.158,0.164,-0.017
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4144111212,0.251,0.155,0.24,0.158,0.164,-0.017
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4116811212,0.144,0.077,0.215,0.091,0.08,0.042
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,200219212,0.062,0.02,0.212,0.033,0.021,0.073
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,201340212,0.037,0.007,0.203,0.02,0.008,0.1
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4132926212,0.214,0.141,0.193,0.155,0.145,0.027
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4329041212,0.236,0.163,0.185,0.177,0.168,0.023
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4043371212,0.093,0.046,0.184,0.062,0.05,0.051
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4190185212,0.134,0.078,0.182,0.093,0.083,0.034
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,441408212,0.059,0.024,0.175,0.033,0.026,0.046
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,31967212,0.058,0.026,0.161,0.036,0.027,0.05
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,27674212,0.044,0.017,0.158,0.025,0.018,0.047
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,437390212,0.525,0.6,-0.15,0.633,0.611,0.046
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,37395564212,0.445,0.511,-0.132,0.553,0.525,0.056
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,318459212,0.463,0.528,-0.131,0.571,0.542,0.057
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4256228212,0.463,0.528,-0.131,0.571,0.542,0.057
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,437833212,0.214,0.164,0.128,0.182,0.176,0.015
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4012222212,0.016,0.004,0.127,0.009,0.004,0.064
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,46271075212,0.424,0.486,-0.125,0.529,0.5,0.057
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,17003,0.06,0.094,-0.125,0.094,0.091,0.01
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,197381212,0.016,0.004,0.124,0.009,0.004,0.062
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4132090212,0.426,0.487,-0.123,0.531,0.501,0.061
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,319049212,0.426,0.487,-0.123,0.532,0.502,0.06
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4101343212,0.19,0.145,0.12,0.168,0.152,0.043
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4192640212,0.017,0.005,0.114,0.01,0.006,0.045
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4306292212,0.016,0.005,0.111,0.009,0.005,0.047
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,441829212,0.074,0.106,-0.11,0.103,0.11,-0.023
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,444100212,0.165,0.128,0.104,0.122,0.132,-0.031
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,42537748212,0.1,0.071,0.104,0.075,0.074,0.007
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4080146212,0.012,0.003,0.103,0.007,0.003,0.05
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,195847212,0.011,0.003,0.102,0.008,0.003,0.07
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,77670212,0.052,0.032,0.101,0.031,0.032,-0.005
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4175440212,0.011,0.003,0.098,0.006,0.003,0.046
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,42537705212,0.011,0.003,0.098,0.006,0.003,0.046
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,42537706212,0.011,0.003,0.098,0.006,0.003,0.046
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,441542212,0.143,0.112,0.093,0.123,0.117,0.02
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,442077212,0.142,0.111,0.092,0.122,0.116,0.018
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,37396146212,0.041,0.025,0.091,0.03,0.027,0.019
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,199074212,0.012,0.004,0.091,0.007,0.005,0.028
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4301699212,0.068,0.047,0.09,0.051,0.049,0.007
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4075249212,0.291,0.252,0.089,0.272,0.267,0.011
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,374888212,0.032,0.049,-0.089,0.037,0.048,-0.055
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4282096212,0.124,0.096,0.089,0.091,0.1,-0.029
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,195596212,0.007,0.001,0.088,0.004,0.002,0.052
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,198678212,0.037,0.022,0.088,0.027,0.024,0.016
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,440383212,0.131,0.103,0.087,0.098,0.107,-0.029
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,378419212,0.015,0.028,-0.087,0.022,0.027,-0.036
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4152280212,0.129,0.102,0.085,0.096,0.105,-0.031
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4092747212,0.017,0.029,-0.083,0.024,0.029,-0.032
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,375239212,0.017,0.03,-0.083,0.024,0.029,-0.034
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4168666212,0.017,0.03,-0.082,0.024,0.029,-0.033
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,139900212,0.005,0.001,0.081,0.005,0.001,0.076
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4134887212,0.05,0.033,0.081,0.038,0.036,0.012
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4145627212,0.016,0.007,0.081,0.013,0.008,0.051
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4182210212,0.115,0.142,-0.081,0.13,0.141,-0.031
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,433736212,0.245,0.211,0.081,0.224,0.219,0.012
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4129389212,0.016,0.008,0.08,0.012,0.008,0.038
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4060556212,0.01,0.003,0.08,0.008,0.003,0.058
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4088937212,0.01,0.003,0.08,0.008,0.003,0.058
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4207688212,0.028,0.016,0.08,0.02,0.018,0.017
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,37016768212,0.008,0.002,0.08,0.004,0.002,0.035
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,196620212,0.023,0.012,0.08,0.016,0.013,0.022
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,435140212,0.007,0.002,0.079,0.006,0.002,0.063
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,436585212,0.007,0.002,0.079,0.006,0.002,0.063
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,318736212,0.025,0.014,0.079,0.017,0.015,0.02
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4134454212,0.025,0.014,0.079,0.017,0.015,0.019
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4182562212,0.008,0.003,0.079,0.005,0.003,0.035
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4193875212,0.023,0.012,0.079,0.016,0.013,0.021
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,4006969212,0.545,0.584,-0.078,0.63,0.6,0.061
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,8507001,0.493,0.532,-0.078,0.53,0.531,-0.002
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,8532001,0.507,0.468,0.078,0.47,0.469,0.002
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,43530666212,0.006,0.014,-0.078,0.007,0.014,-0.065
"cdm_premier_covid_v1240",16733,16736,16741,1,NA,198809212,0.006,0.001,0.077,0.004,0.001,0.055
