"time","target_survival","target_survival_lb","target_survival_ub","comparator_survival","comparator_survival_lb","comparator_survival_ub","target_at_risk","comparator_at_risk","target_id","comparator_id","outcome_id","analysis_id","database_id"
0,1,1,1,1,1,1,1623,24404,16733,16736,16741,1,"cdm_premier_covid_v1240"
1,1,1,1,0.9996,0.9992,0.9998,NA,NA,16733,16736,16741,1,"cdm_premier_covid_v1240"
2,0.9914,0.9855,0.9949,0.9896,0.988,0.9909,NA,NA,16733,16736,16741,1,"cdm_premier_covid_v1240"
3,0.9745,0.9652,0.9814,0.9773,0.9749,0.9794,NA,NA,16733,16736,16741,1,"cdm_premier_covid_v1240"
4,0.9581,0.9462,0.9675,0.9619,0.9588,0.9647,NA,NA,16733,16736,16741,1,"cdm_premier_covid_v1240"
5,0.9368,0.9218,0.949,0.9421,0.9382,0.9458,NA,NA,16733,16736,16741,1,"cdm_premier_covid_v1240"
6,0.9201,0.9029,0.9343,0.9216,0.9168,0.926,NA,NA,16733,16736,16741,1,"cdm_premier_covid_v1240"
7,0.889,0.868,0.9068,0.9024,0.897,0.9076,NA,NA,16733,16736,16741,1,"cdm_premier_covid_v1240"
8,0.8546,0.8299,0.8759,0.8817,0.8755,0.8876,NA,NA,16733,16736,16741,1,"cdm_premier_covid_v1240"
9,0.841,0.8148,0.8638,0.8608,0.8538,0.8675,NA,NA,16733,16736,16741,1,"cdm_premier_covid_v1240"
10,0.8258,0.7979,0.8502,0.8374,0.8296,0.8449,NA,NA,16733,16736,16741,1,"cdm_premier_covid_v1240"
11,0.8066,0.7765,0.8332,0.8151,0.8065,0.8234,NA,NA,16733,16736,16741,1,"cdm_premier_covid_v1240"
12,0.7901,0.7579,0.8184,0.7956,0.7863,0.8046,NA,NA,16733,16736,16741,1,"cdm_premier_covid_v1240"
13,0.7741,0.7399,0.8043,0.7791,0.7691,0.7886,NA,NA,16733,16736,16741,1,"cdm_premier_covid_v1240"
14,0.7584,0.7222,0.7907,0.7586,0.7479,0.769,NA,NA,16733,16736,16741,1,"cdm_premier_covid_v1240"
15,0.7314,0.6916,0.7669,0.7407,0.7294,0.7517,NA,NA,16733,16736,16741,1,"cdm_premier_covid_v1240"
16,0.7126,0.6704,0.7505,0.7278,0.716,0.7393,NA,NA,16733,16736,16741,1,"cdm_premier_covid_v1240"
17,0.696,0.6516,0.736,0.7153,0.703,0.7273,NA,NA,16733,16736,16741,1,"cdm_premier_covid_v1240"
0,1,1,1,1,1,1,1619,1619,16733,16736,16741,2,"cdm_premier_covid_v1240"
2,0.9914,0.9869,0.9959,0.9944,0.9908,0.9981,NA,NA,16733,16736,16741,2,"cdm_premier_covid_v1240"
3,0.9744,0.9664,0.9825,0.9853,0.9792,0.9914,NA,NA,16733,16736,16741,2,"cdm_premier_covid_v1240"
4,0.958,0.9474,0.9687,0.9714,0.9625,0.9803,NA,NA,16733,16736,16741,2,"cdm_premier_covid_v1240"
5,0.9366,0.923,0.9504,0.9526,0.9407,0.9646,NA,NA,16733,16736,16741,2,"cdm_premier_covid_v1240"
6,0.9198,0.9041,0.9358,0.9235,0.9078,0.9395,NA,NA,16733,16736,16741,2,"cdm_premier_covid_v1240"
7,0.8886,0.8692,0.9084,0.9015,0.8832,0.9201,NA,NA,16733,16736,16741,2,"cdm_premier_covid_v1240"
8,0.854,0.8309,0.8777,0.8818,0.8613,0.9028,NA,NA,16733,16736,16741,2,"cdm_premier_covid_v1240"
9,0.8404,0.8159,0.8656,0.8603,0.8375,0.8837,NA,NA,16733,16736,16741,2,"cdm_premier_covid_v1240"
10,0.8251,0.799,0.8521,0.8308,0.805,0.8574,NA,NA,16733,16736,16741,2,"cdm_premier_covid_v1240"
11,0.8058,0.7775,0.8351,0.8053,0.777,0.8347,NA,NA,16733,16736,16741,2,"cdm_premier_covid_v1240"
12,0.7891,0.759,0.8204,0.786,0.7558,0.8174,NA,NA,16733,16736,16741,2,"cdm_premier_covid_v1240"
13,0.773,0.7409,0.8064,0.7738,0.7423,0.8065,NA,NA,16733,16736,16741,2,"cdm_premier_covid_v1240"
14,0.7572,0.7231,0.7928,0.7523,0.7186,0.7876,NA,NA,16733,16736,16741,2,"cdm_premier_covid_v1240"
15,0.7298,0.6924,0.7692,0.7376,0.7023,0.7746,NA,NA,16733,16736,16741,2,"cdm_premier_covid_v1240"
16,0.7108,0.6711,0.7528,0.7251,0.6885,0.7636,NA,NA,16733,16736,16741,2,"cdm_premier_covid_v1240"
